ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
ShowingAvailability,ShowingMethod,Showing Method,"The type of showings (i.e., in-person, virtual, etc.) allowed for the property.",,"String List, Multi",,1024,,,,,Active,30767ed,,Open with Enumerations,ShowingMethod,No,,,6/16/2022,6/16/2022,2.0.0,ShowingMethod Field,https://ddwiki.reso.org/display/DDW20/ShowingMethod+Field,1136163,,,
ShowingAvailability,ShowingMinimumDuration,Showing Minimum Duration,The minimum block of time available for a showing.,,String,,50,,,,,Active,d757eaa,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingMinimumDuration Field,https://ddwiki.reso.org/display/DDW20/ShowingMinimumDuration+Field,1136169,,,
ShowingAvailability,UniqueOrganizationIdentifier,Unique Organization Identifier,This is the unique ID assigned to organizations included in the OUID Resource. Assignment of Unique Organization Identifiers (UOIs) will be centralized and may not be created by systems hosting the OUID Resource.,,String,,25,,,,,Active,1043f1f,,,,No,,,6/16/2022,6/16/2022,2.0.0,UniqueOrganizationIdentifier Field,https://ddwiki.reso.org/display/DDW20/UniqueOrganizationIdentifier+Field,1136173,,,
ShowingAvailability,UniversalPropertyId,Universal Property ID,"The Universal Property Identifier (UPI) is a unique identifier based on country and local identification methods for all real property in the U.S. and Canada. For cases such as shares of real property, units and other more granular cases, please utilize the UniversalPropertySubId.",,String,,128,,,,,Active,820c432,,,,No,,,6/16/2022,6/16/2022,2.0.0,UniversalPropertyId Field (ShowingAvailability),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136179,1136179,,,
ShowingRequest,ModificationTimestamp,Modification Timestamp,The transactional timestamp automatically recorded by the system representing the date/time the ShowingRequest record was last modified.,,Timestamp,,27,,,,,Active,377bb27,,,,No,,,6/16/2022,6/16/2022,2.0.0,ModificationTimestamp Field (ShowingRequest),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136146,1136146,,,
ShowingRequest,ShowingAgentKey,Showing Agent Key,"A system unique identifier of the member who has scheduled to access the property. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system in which the record was retrieved. This may be identical to the related xxxId and is a foreign key relating to the MemberKey of the Member Resource.",,String,,255,,,,,Active,279a42d,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingAgentKey Field (ShowingRequest),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136151,1136151,,,
ShowingRequest,ShowingAgentMlsId,Showing Agent MLS ID,"The local, well-known identifier for the member who has scheduled to access the property, most commonly representing a buyer. This value may not be unique. Specifically, in the case of aggregation systems, this value should be the identifier from the original system.",,String,,25,,,,,Active,23f9475,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingAgentMlsId Field (ShowingRequest),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136159,1136159,,,
ShowingRequest,ShowingId,Showing ID,"The well-known identifier for the showing record. The value may be identical to that of the ShowingKey, but the ShowingId is intended to be the value used by a human to retrieve the information about a specific showing. In a multiple-originating or merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",,String,,255,,,,,Active,cf9a8ff,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingId Field (ShowingRequest),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136164,1136164,,,
ShowingRequest,ShowingKey,Showing Key,"A unique identifier for this record from the immediate source. This is a string that can include a Uniform Resource Identifier (URI) or other forms. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",,String,,255,,,,,Active,45f0880,,,,No,,,6/16/2022,6/16/2022,2.0.0,ShowingKey Field (ShowingRequest),https://ddwiki.reso.org/pages/viewpage.action?pageId=1136170,1136170,,,
ShowingRequest,ShowingMethodRequest,Showing Method Request,"The method of showing (i.e., in-person, virtual, etc.) requested for the property.",,"String List, Multi",,1024,,,,,Active,84c1991,,Open with Enumerations,ShowingMethodRequest,No,,,6/16/2022,6/16/2022,2.0.0,ShowingMethodRequest Field,https://ddwiki.reso.org/display/DDW20/ShowingMethodRequest+Field,1136176,,,
